x=0.6607997 , y=3.122039 , z=9.093178
x=0.6488287 , y=3.0789435 , z=9.330204
x=0.7565677 , y=2.9999347 , z=9.64145
x=0.8690952 , y=2.956839 , z=9.92636
x=0.90740246 , y=2.9233203 , z=10.177752
x=0.8714894 , y=2.918532 , z=10.453085
x=0.80684596 , y=2.9472623 , z=10.589554
x=0.7134721 , y=2.9951463 , z=10.714052
x=0.6584055 , y=3.028665 , z=10.723629
x=0.6440403 , y=3.0789435 , z=10.718841
x=0.6368576 , y=3.181894 , z=10.589554
x=0.6991069 , y=3.2273839 , z=10.441113
x=0.7445967 , y=3.3255463 , z=10.189722
x=0.7733272 , y=3.3782187 , z=9.919178
x=0.79966336 , y=3.442862 , z=9.646238
x=0.770933 , y=3.490746 , z=9.234436
x=0.7230489 , y=3.5194764 , z=8.9279785
x=0.6488287 , y=3.5482068 , z=8.6574335
x=0.6368576 , y=3.5625722 , z=8.528147
x=0.6344634 , y=3.550601 , z=8.446744
x=0.60333884 , y=3.550601 , z=8.348581
x=0.62009823 , y=3.53863 , z=8.305486
x=0.581791 , y=3.502717 , z=8.264784
x=0.5410896 , y=3.490746 , z=8.3150625
x=0.47644615 , y=3.4596214 , z=8.346188
x=0.40462008 , y=3.4021606 , z=8.53054
x=0.35673606 , y=3.3542767 , z=8.7532015
x=0.2873042 , y=3.2800562 , z=9.100361
x=0.22984336 , y=3.1890767 , z=9.349358
x=0.1436521 , y=3.1507695 , z=9.677363
x=0.06703765 , y=3.0765493 , z=10.120291
x=0.0023942017 , y=3.0502129 , z=10.419566
x=-0.074220255 , y=3.0382419 , z=10.644621
x=-0.12210429 , y=3.0502129 , z=10.709264
x=-0.1340753 , y=3.0909145 , z=10.601525
x=-0.20111294 , y=3.1364043 , z=10.3453455
x=-0.22266077 , y=3.1962593 , z=10.0269165
x=-0.20350714 , y=3.25372 , z=9.615114
x=-0.19393034 , y=3.2968156 , z=9.248801
x=-0.1604115 , y=3.3135753 , z=8.89446
x=-0.16280572 , y=3.289633 , z=8.453926
x=-0.16998832 , y=3.2824504 , z=8.171411
x=-0.21787235 , y=3.2585084 , z=7.953538
x=-0.2681506 , y=3.2489316 , z=7.884106
x=-0.34715924 , y=3.2154129 , z=7.8984714
x=-0.35913026 , y=3.1771057 , z=8.058883
x=-0.37110126 , y=3.1364043 , z=8.212111
x=-0.36152446 , y=3.1531637 , z=8.432379
x=-0.35434186 , y=3.1675289 , z=8.628703
x=-0.33039984 , y=3.2106245 , z=8.760384
x=-0.34476504 , y=3.2800562 , z=8.846576
x=-0.37110126 , y=3.3399115 , z=8.762778
x=-0.37828386 , y=3.4165258 , z=8.585608
x=-0.36631286 , y=3.4883518 , z=8.348581
x=-0.3184288 , y=3.5290532 , z=8.104373
x=-0.19632454 , y=3.5410242 , z=7.855376
x=-0.11492168 , y=3.4811692 , z=7.7093296
x=0.009576807 , y=3.406949 , z=7.599196
x=0.06943185 , y=3.301604 , z=7.630321
x=0.095768064 , y=3.2225955 , z=7.7332716
x=0.08140286 , y=3.1387985 , z=7.955932
x=0.055066638 , y=3.0382419 , z=8.238448
x=0.011971008 , y=2.9496565 , z=8.631097
x=-0.0023942017 , y=2.908955 , z=8.992621
x=0.007182605 , y=2.8754363 , z=9.325416
x=-0.019153614 , y=2.8898015 , z=9.76116
x=-0.0023942017 , y=2.9352913 , z=10.067618
x=0.023942016 , y=3.0071173 , z=10.402806
x=0.047884032 , y=3.074155 , z=10.551247
x=0.06703765 , y=3.1244333 , z=10.625467
x=0.1316811 , y=3.2202013 , z=10.589554
x=0.20829555 , y=3.2800562 , z=10.498574
x=0.36631286 , y=3.3758245 , z=10.307038
x=0.533907 , y=3.4931402 , z=10.093954
x=0.6560113 , y=3.5984852 , z=9.85214
x=0.830788 , y=3.7325604 , z=9.562442
x=0.9576807 , y=3.8259344 , z=9.344569
x=1.103727 , y=3.9001546 , z=9.203311
x=1.271321 , y=3.9504328 , z=9.179369
x=1.412579 , y=3.9863458 , z=9.26556
x=1.5059528 , y=3.9671922 , z=9.504981
x=1.5059528 , y=3.952827 , z=9.775525
x=1.436521 , y=3.8977604 , z=10.25676
x=1.3623008 , y=3.8307228 , z=10.594342
x=1.2473791 , y=3.7588966 , z=10.893618
x=1.1563994 , y=3.643975 , z=11.200075
x=1.067814 , y=3.596091 , z=11.386824
x=0.94092125 , y=3.5482068 , z=11.47062
x=0.8595184 , y=3.5290532 , z=11.463438
x=0.7757214 , y=3.5314474 , z=11.27669
x=0.6823475 , y=3.550601 , z=10.884041
x=0.61291564 , y=3.5482068 , z=10.517728
x=0.56982 , y=3.5434184 , z=9.998186
x=0.5267244 , y=3.550601 , z=9.61272
x=0.5243302 , y=3.526659 , z=9.294291
x=0.5434838 , y=3.5458126 , z=8.980651
x=0.5746084 , y=3.5170822 , z=8.7292595
x=0.6440403 , y=3.4931402 , z=8.497022
x=0.6536171 , y=3.4596214 , z=8.401254
x=0.6679823 , y=3.4093432 , z=8.358158
x=0.62488663 , y=3.3614593 , z=8.463503
x=0.59376204 , y=3.3303347 , z=8.549694
x=0.545878 , y=3.277662 , z=8.714894
x=0.5267244 , y=3.2465374 , z=8.865729
x=0.47884035 , y=3.1986535 , z=8.9758625
x=0.4357447 , y=3.169923 , z=9.14585
x=0.3854665 , y=3.1196449 , z=9.251195
x=0.2896984 , y=3.086126 , z=9.291897
x=0.20829555 , y=3.0813377 , z=9.255983
x=0.1388637 , y=3.0382419 , z=9.126697
x=0.07182605 , y=3.0310593 , z=8.966286
x=0.050278235 , y=3.0262709 , z=8.78672
x=0.11971009 , y=3.0478187 , z=8.544906
x=0.18435353 , y=3.0765493 , z=8.322245
x=0.2681506 , y=3.1004913 , z=8.121132
x=0.39264908 , y=3.1411927 , z=7.85777
x=0.47884035 , y=3.1627405 , z=7.6734166
x=0.5506664 , y=3.1723173 , z=7.589619
x=0.58418524 , y=3.1794999 , z=7.5704656
x=0.61770403 , y=3.1435869 , z=7.608773
x=0.6631939 , y=3.074155 , z=7.728483
x=0.6512229 , y=3.016694 , z=7.869741
x=0.5626374 , y=2.8802247 , z=8.051701
x=0.47884035 , y=2.80361 , z=8.197746
