x=0.33039478190978316 , y=1.5609956371332325 , z=4.546519279262178
x=0.3244093751328039 , y=1.5394481727361071 , z=4.665030571861296
x=0.37827806592748353 , y=1.4999443688005796 , z=4.820651148062757
x=0.4345409492348209 , y=1.4783969044034542 , z=4.963104067769793
x=0.4536942807230207 , y=1.4616377654279122 , z=5.088797848501286
x=0.43573803059021676 , y=1.4592436027171205 , z=5.226462442786738
x=0.40341680419266257 , y=1.4736085789818707 , z=5.294695841629373
x=0.35673060153035807 , y=1.4975502060897878 , z=5.356944072109958
x=0.3291977005543873 , y=1.51430934506533 , z=5.361732397531542
x=0.3220152124220122 , y=1.5394481727361071 , z=5.35933823482075
x=0.31842393855395856 , y=1.590922671018129 , z=5.294695841629373
x=0.3495480835961169 , y=1.6136672167706503 , z=5.22047679759483
x=0.37229265915050425 , y=1.6627476715493446 , z=5.094783016863337
x=0.3866576652171206 , y=1.6890834613680534 , z=4.959513062118534
x=0.399825560126475 , y=1.7214046579637416 , z=4.823045310773549
x=0.3854605838617247 , y=1.7453462850716588 , z=4.617147317645461
x=0.3615189269519415 , y=1.759711261336409 , z=4.463920904154792
x=0.3244093751328039 , y=1.7740762376011594 , z=4.328650472580131
x=0.31842393855395856 , y=1.7812588449409987 , z=4.264008079388755
x=0.3172268571985627 , y=1.7752733189565553 , z=4.223307313305296
x=0.3016647995784166 , y=1.7752733189565553 , z=4.1742267393191375
x=0.31004436906618754 , y=1.769287912179576 , z=4.152679274922012
x=0.2908910375779878 , y=1.7513316918486381 , z=4.132328653465354
x=0.2705406545362582 , y=1.7453462850716588 , z=4.157467600343596
x=0.238219428138704 , y=1.7297842274515127 , z=4.17302989637867
x=0.20230694277402922 , y=1.701054274922012 , z=4.2652049223292225
x=0.17836530076517904 , y=1.677112647814095 , z=4.376533726795966
x=0.14364989675590012 , y=1.6400030065893592 , z=4.550110761743293
x=0.114919921875 , y=1.5945139150843166 , z=4.674607222704463
x=0.07182494837795006 , y=1.575360613397983 , z=4.8386076068086235
x=0.033518311478183314 , y=1.5382510913807113 , z=5.060067895971786
x=0.00119708251953125 , y=1.5250830772638926 , z=5.209703303811196
x=-0.03710955926960414 , y=1.5190976704869135 , z=5.322228951218406
x=-0.06105120872892082 , y=1.5250830772638926 , z=5.354549909399166
x=-0.06703662295636663 , y=1.5454335795130865 , z=5.300681486821281
x=-0.10055493070931668 , y=1.5681781252656077 , z=5.172593543378996
x=-0.11132867780881242 , y=1.5981051591505042 , z=5.013381484696419
x=-0.10175201206471253 , y=1.6268351116800048 , z=4.807483491568331
x=-0.09696368664312911 , y=1.6483825760771302 , z=4.624329805777837
x=-0.08020452531618756 , y=1.6567622647723654 , z=4.447161765179249
x=-0.08140161412204994 , y=1.6447913320109426 , z=4.226898318956555
x=-0.08499285818823751 , y=1.641200087944755 , z=4.085642719019844
x=-0.10893450764755419 , y=1.6292292743907963 , z=3.9767080772638925
x=-0.13407324591273326 , y=1.624440948969213 , z=3.9419927179574126
x=-0.1735769604426626 , y=1.607681809993671 , z=3.949175206089788
x=-0.1795623821205749 , y=1.5885285083073373 , z=4.02937965690131
x=-0.1855477888975542 , y=1.5681781252656077 , z=4.105992863646645
x=-0.18075946347597074 , y=1.5765576947533788 , z=4.216124825172921
x=-0.1771682194097832 , y=1.5837401828857538 , z=4.314285496315381
x=-0.16519739095489158 , y=1.6052876472828792 , z=4.380124732447225
x=-0.17237987908726674 , y=1.6400030065893592 , z=4.423220138071333
x=-0.1855477888975542 , y=1.6699301596817198 , z=4.381322052217549
x=-0.18913903296374177 , y=1.7082367630543873 , z=4.2927380319182555
x=-0.18315362618676248 , y=1.744149203716263 , z=4.1742267393191375
x=-0.15921196927697928 , y=1.7644995867579925 , z=4.05212444106876
x=-0.09816076799852497 , y=1.7704849935349718 , z=3.927627741692662
x=-0.0574599609375 , y=1.7405579596500753 , z=3.854605779013515
x=0.004788330078125 , y=1.7034484376328038 , z=3.799539798250377
x=0.03471539283357917 , y=1.650776738787922 , z=3.815102094285452
x=0.04788329891863337 , y=1.6112730540598585 , z=3.8665765925674735
x=0.04070080706102497 , y=1.5693752066210036 , z=3.977905158619288
x=0.02753289725073751 , y=1.5190976704869135 , z=4.119160996970928
x=0.005985412364829171 , y=1.4748056603372666 , z=4.315482339255849
x=-0.00119708251953125 , y=1.454455277295537 , z=4.496241862335552
x=0.00359124755859375 , y=1.437696138319995 , z=4.662636409150504
x=-0.00957666015625 , y=1.4448786264523703 , z=4.88050521583255
x=-0.00119708251953125 , y=1.4676231722048916 , z=5.033732106153076
x=0.011970824729658342 , y=1.5035356128667672 , z=5.201323495908497
x=0.023941649459316684 , y=1.5370540100253154 , z=5.275542539943039
x=0.033518311478183314 , y=1.5621927184886284 , z=5.312652300375239
