x=0.63206923 , y=3.9959226 , z=8.719683
x=0.8595184 , y=3.7708676 , z=7.548918
x=1.1444284 , y=3.8019924 , z=7.3909006
x=1.3239936 , y=4.0581717 , z=10.266336
x=1.5969325 , y=4.1922474 , z=12.320562
x=1.5945383 , y=4.268862 , z=12.174516
x=1.0773908 , y=4.4843397 , z=11.15698
x=0.9528923 , y=4.675876 , z=10.237606
x=0.92416185 , y=4.984728 , z=9.583989
x=0.9744401 , y=5.231331 , z=9.344569
x=0.9624691 , y=5.3438582 , z=9.0716305
x=0.90979666 , y=5.269638 , z=8.746018
x=0.9696517 , y=5.1762643 , z=8.027759
x=0.91697925 , y=5.0517654 , z=6.694188
x=0.9911995 , y=5.011064 , z=5.971139
x=1.1133038 , y=5.085284 , z=6.715736
x=1.2066777 , y=5.21936 , z=7.577648
x=1.0055647 , y=5.4563856 , z=8.101978
x=0.50757074 , y=5.6646814 , z=8.437167
x=0.40940848 , y=5.758055 , z=8.350976
x=0.62967503 , y=5.8203044 , z=8.461109
x=0.8738836 , y=5.7843914 , z=7.869741
x=0.90261406 , y=5.626374 , z=8.231265
x=1.2114661 , y=5.3678 , z=9.0429
x=1.4221559 , y=5.2121773 , z=8.9519205
x=1.3814543 , y=5.085284 , z=9.306262
x=1.3335704 , y=4.9057193 , z=9.148245
x=1.2737153 , y=4.8027687 , z=8.889671
x=1.079785 , y=4.7620673 , z=8.774749
x=1.0390835 , y=4.7381253 , z=9.186552
x=1.1563994 , y=4.7740383 , z=10.632649
x=1.1707647 , y=4.7285485 , z=11.63582
x=1.043872 , y=4.6495395 , z=12.435484
x=0.878672 , y=4.5298295 , z=11.365275
x=0.8738836 , y=4.584896 , z=10.742783
x=0.81881696 , y=4.697424 , z=10.127473
x=0.78290397 , y=4.805163 , z=10.632649
x=0.7110779 , y=4.8482585 , z=9.938332
x=0.50278234 , y=4.8817773 , z=8.810662
x=0.60573304 , y=4.879383 , z=8.350976
x=0.8619126 , y=4.867412 , z=7.132327
x=1.0630256 , y=4.9105077 , z=6.069301
x=1.115698 , y=4.9919105 , z=6.133945
x=1.0342951 , y=5.104438 , z=6.7229185
x=1.1109096 , y=5.1116204 , z=7.762002
x=1.2904748 , y=4.9943047 , z=7.479486
x=1.055843 , y=4.771644 , z=6.7588315
x=0.79487497 , y=4.6232033 , z=7.809886
x=0.85473 , y=4.5896845 , z=8.892065
x=0.9648633 , y=4.5082817 , z=10.881647
x=0.90021986 , y=4.417302 , z=12.808979
x=0.81642276 , y=4.232949 , z=12.220005
x=0.7302315 , y=3.9240966 , z=10.965444
x=0.92416185 , y=3.7924154 , z=11.496957
x=1.0534488 , y=3.763685 , z=12.243947
x=1.2330139 , y=3.857059 , z=13.148955
x=1.3479356 , y=4.0054994 , z=12.847286
x=0.8738836 , y=4.2161894 , z=11.736377
x=0.5650316 , y=4.3622355 , z=10.551247
x=0.6871359 , y=4.5082817 , z=8.920795
x=0.81642276 , y=4.6926355 , z=7.515399
x=0.9983821 , y=4.7309427 , z=7.321469
x=0.9720459 , y=4.5872903 , z=7.1706343
x=0.91697925 , y=4.5418005 , z=7.1514807
x=0.6679823 , y=4.5801077 , z=7.216124
x=0.51235914 , y=4.6255975 , z=6.7085533
x=0.30645782 , y=4.72376 , z=5.5497594
x=0.04070143 , y=4.9559975 , z=4.948815
x=-0.021547815 , y=5.1547165 , z=4.817134
x=-0.06943185 , y=5.1786585 , z=5.2361193
x=0.16519992 , y=5.12838 , z=5.9687448
x=0.51954174 , y=5.0302176 , z=6.4978633
x=0.6919243 , y=4.841076 , z=6.1123967
x=0.5363012 , y=4.7548847 , z=6.2392898
x=0.18674773 , y=4.6782703 , z=7.716512
x=0.1340753 , y=4.4580035 , z=8.030152
x=0.24660277 , y=4.2664676 , z=7.575254
x=0.3854665 , y=4.134786 , z=9.459491
x=0.4333505 , y=3.928885 , z=10.18254
x=0.15322891 , y=3.6367924 , z=9.701305
x=0.05746084 , y=3.5314474 , z=9.56723
x=0.107739076 , y=3.4835634 , z=10.077195
x=0.23942018 , y=3.6176388 , z=10.986992
x=0.22026655 , y=3.8522706 , z=10.398018
x=0.2705448 , y=4.175488 , z=9.109938
x=0.16519992 , y=4.462792 , z=8.3821
x=-0.023942016 , y=4.656722 , z=8.015787
x=0.50038815 , y=4.912902 , z=7.7548194
x=0.6751649 , y=5.0158525 , z=7.443573
x=0.80445176 , y=4.865018 , z=6.256049
x=0.89303726 , y=4.699818 , z=4.987122
x=0.8714894 , y=4.6160207 , z=3.857059
x=0.89303726 , y=4.6806645 , z=3.833117
x=1.0127473 , y=4.8985367 , z=4.960786
x=0.8283938 , y=5.2002063 , z=6.6534867
x=0.5506664 , y=5.2504845 , z=7.273585
x=0.5243302 , y=5.1882353 , z=7.553706
x=0.4429273 , y=4.8458643 , z=8.018182
x=0.4285621 , y=4.534618 , z=8.971074
x=0.6344634 , y=4.3023806 , z=10.726024
x=1.0390835 , y=4.249708 , z=12.382812
x=1.0534488 , y=4.1659107 , z=13.074736
x=0.5506664 , y=4.0294414 , z=11.554418
x=0.29927522 , y=4.0940847 , z=9.902418
x=0.82121116 , y=4.3047748 , z=10.824186
x=1.2641385 , y=4.501099 , z=12.042834
x=1.1180922 , y=4.5561657 , z=11.492168
x=0.78290397 , y=4.5298295 , z=11.087548
x=0.5602432 , y=4.5298295 , z=9.983821
x=0.4333505 , y=4.570531 , z=8.480263
x=0.60094464 , y=4.721366 , z=7.2209125
x=0.9816227 , y=4.972757 , z=6.7324953
x=1.2330139 , y=5.317522 , z=7.017405
