x=0.3160297758431668 , y=1.9979306894751132 , z=4.359774587820423
x=0.4297526238132375 , y=1.8854049228604384 , z=3.774401089787064
x=0.5722054243128087 , y=1.9009670996880486 , z=3.6953937203309377
x=0.6619866451749622 , y=2.0290548047154053 , z=5.133089620236004
x=0.7984540388975542 , y=2.0960915990325018 , z=6.160186853655221
x=0.7972569575421583 , y=2.134398202405169 , z=6.087164652561144
x=0.5386871463617247 , y=2.2421355243907963 , z=5.57840436127312
x=0.476438856277408 , y=2.3379022712373936 , z=5.118724643971254
x=0.46207385021079167 , y=2.492325766083459 , z=4.791921195533257
x=0.4872125884759707 , y=2.6156253841041606 , z=4.672213059993671
x=0.4812271816989914 , y=2.671888207807766 , z=4.535745785478543
x=0.4548913620784165 , y=2.6347786857904945 , z=4.372942244314849
x=0.48481842576517903 , y=2.588092512930056 , z=4.0138178376960925
x=0.4584826061446041 , y=2.525844044034543 , z=3.3470428074958147
x=0.49559215796374173 , y=2.5054936609928133 , z=2.985523761336409
x=0.5566433666926626 , y=2.542603183010085 , z=3.3578165396943773
x=0.6033295991568332 , y=2.6096399773271814 , z=3.7887660660518145
x=0.5027746460961169 , y=2.7281510315113713 , z=4.050927121298436
x=0.2537814857588502 , y=2.8322973478457394 , z=4.218518987883712
x=0.20470110548482093 , y=2.8789835207061776 , z=4.175424059089462
x=0.31483269448777096 , y=2.91010763594647 , z=4.230489801437671
x=0.43693511194561263 , y=2.892151415615532 , z=3.9348102298250374
x=0.45130011801222897 , y=2.8131438077444773 , z=4.115569514489812
x=0.6057237618676248 , y=2.6838590213617244 , z=4.521380809213793
x=0.7110670403499244 , y=2.6060487332609936 , z=4.47589171770875
x=0.6907165977044628 , y=2.542603183010085 , z=4.653059758307337
x=0.6667749705965457 , y=2.4528220813553956 , z=4.574052388851211
x=0.6368478771079171 , y=2.401347583073374 , z=4.444767602468458
x=0.5398842277171205 , y=2.3809972000316444 , z=4.3873072205796
x=0.5195337850716589 , y=2.3690263864776857 , z=4.593205690537544
x=0.578190831089788 , y=2.3869826068086235 , z=5.316243306026498
x=0.5853733788258952 , y=2.3642380610561022 , z=5.817821109182148
x=0.5219280073861827 , y=2.3247341379131106 , z=6.2176467587142215
x=0.43932927465640437 , y=2.2648800701433176 , z=5.682550677607488
x=0.43693511194561263 , y=2.2924129413174223 , z=5.371309048374708
x=0.40940221096964186 , y=2.348676003435956 , z=5.063658901623045
x=0.391445990638704 , y=2.4025446644287696 , z=5.316243306026498
x=0.3555335201749622 , y=2.424092128825895 , z=4.9690897129617
x=0.25138732304805844 , y=2.440851267801437 , z=4.405263679325466
x=0.3028618809338124 , y=2.4396541864460413 , z=4.175424059089462
x=0.43094970516863335 , y=2.433668779669062 , z=3.566108933948185
x=0.5315046582293496 , y=2.4552162440661873 , z=3.034604096907639
x=0.5578404480480584 , y=2.4959170101496464 , z=3.0669255319182556
x=0.5171396223608672 , y=2.552179833853252 , z=3.361407783760565
x=0.5554462853372667 , y=2.5557710779194394 , z=3.880941568832224
x=0.6452275061994202 , y=2.4971140915050425 , z=3.739685730480584
x=0.527913414163162 , y=2.385785525453228 , z=3.379364004091503
x=0.3974313974156833 , y=2.3115662430037562 , z=3.904883195940141
x=0.4273584611024458 , y=2.294807104028214 , z=4.445964445408926
x=0.4824242630543873 , y=2.254106337944755 , z=5.440740243817525
x=0.4501030366568331 , y=2.2086172464397125 , z=6.404391450155975
x=0.408205129614246 , y=2.1164419820742313 , z=6.109908959898737
x=0.3651101710181291 , y=1.9620182488132374 , z=5.482637852841451
x=0.46207385021079167 , y=1.896178655059001 , z=5.748390390569188
x=0.5267163328077661 , y=1.8818136787942508 , z=6.121879773452696
x=0.6164974940661875 , y=1.9284999708621533 , z=6.574377002622187
x=0.6739574587289208 , y=2.0027190148966967 , z=6.423544751842309
x=0.43693511194561263 , y=2.1080624125864604 , z=5.868098526108774
x=0.28251146809021677 , y=2.1810843752656077 , z=5.275542539943039
x=0.3435626768191376 , y=2.254106337944755 , z=4.460329421673675
x=0.408205129614246 , y=2.3462818407251644 , z=3.7576419508115224
x=0.49918340202992934 , y=2.365435142411498 , z=3.6606783610244578
x=0.4860155071205749 , y=2.2936100226728184 , z=3.5852622356345187
x=0.4584826061446041 , y=2.270865476920297 , z=3.575685584791352
x=0.33398602597597077 , y=2.2900187786066306 , z=3.60800678138704
x=0.25617564846964186 , y=2.312763324359152 , z=3.35422529562819
x=0.1532265625 , y=2.3618438983453105 , z=2.77483720437181
x=0.020350403530512484 , y=2.4779607898187086 , z=2.474369545752521
x=-0.010773742442954171 , y=2.5773187807314932 , z=2.408530071205749
x=-0.03471539283357917 , y=2.589289594285452 , z=2.6180195468149523
x=0.08259869547744579 , y=2.56415064740721 , z=2.984326679981013
x=0.25976689253582946 , y=2.5150703118359803 , z=3.248881897938426
x=0.34595683952992934 , y=2.4205008847597074 , z=3.0561515613047647
x=0.2681464918254665 , y=2.3774059559654566 , z=3.1195971115556733
x=0.09337243512647503 , y=2.3390993525927892 , z=3.8581970230797027
x=0.06703662295636663 , y=2.228967629481442 , z=4.01501468063656
x=0.12329949881323751 , y=2.1332011210497734 , z=3.7875689846964185
x=0.19273029193086236 , y=2.0673614080880727 , z=4.729672965052672
x=0.21667193393971254 , y=1.9644124115240291 , z=5.091192011212078
x=0.07661328125 , y=1.8183683669582702 , z=4.850578420362582
x=0.02872998046875 , y=1.7656966681133883 , z=4.783541864460414
x=0.05386871314607917 , y=1.7417550410054712 , z=5.03852043157466
x=0.11970825474704994 , y=1.8087917161151035 , z=5.4934118234549425
x=0.11013158900295004 , y=1.9261058081513616 , z=5.198929333197705
x=0.1352703272681291 , y=2.087712029544731 , z=4.554899087164877
