x=-0.17238252 , y=1.7860745 , z=9.004593
x=-0.110133275 , y=1.8148049 , z=8.954314
x=-0.07182605 , y=1.8243817 , z=8.956709
x=-0.01436521 , y=1.7956513 , z=9.057265
x=0.009576807 , y=1.7884687 , z=9.217676
x=0.0047884034 , y=1.745373 , z=9.40203
x=-0.06943185 , y=1.7166426 , z=9.564836
x=-0.18914193 , y=1.661576 , z=9.722853
x=-0.32321724 , y=1.5658079 , z=9.821015
x=-0.4381389 , y=1.4939818 , z=9.871294
x=-0.5602432 , y=1.4173675 , z=9.916783
x=-0.6368576 , y=1.3623008 , z=9.916783
x=-0.6943185 , y=1.3096284 , z=9.928755
x=-0.7445967 , y=1.30484 , z=9.923966
x=-0.7445967 , y=1.3192052 , z=9.950302
x=-0.6919243 , y=1.3455414 , z=9.959879
x=-0.60812724 , y=1.3790601 , z=9.909601
x=-0.44771573 , y=1.4221559 , z=9.799467
x=-0.30885202 , y=1.4556746 , z=9.674969
x=-0.20829555 , y=1.4676456 , z=9.524135
x=-0.1340753 , y=1.4772224 , z=9.404425
x=-0.10055647 , y=1.4891934 , z=9.356541
x=-0.107739076 , y=1.5179238 , z=9.370906
x=-0.08619126 , y=1.5251064 , z=9.421184
x=-0.09816227 , y=1.5227122 , z=9.509769
x=-0.12689269 , y=1.5298948 , z=9.588778
x=-0.14844051 , y=1.5514427 , z=9.595961
x=-0.16998832 , y=1.5586253 , z=9.591172
x=-0.18674773 , y=1.5705963 , z=9.533711
x=-0.19632454 , y=1.5682021 , z=9.473856
x=-0.17238252 , y=1.5586253 , z=9.361329
x=-0.17477672 , y=1.5227122 , z=9.284714
x=-0.19393034 , y=1.5011644 , z=9.222465
x=-0.19871874 , y=1.4891934 , z=9.232041
x=-0.21787235 , y=1.508347 , z=9.255983
x=-0.25139117 , y=1.5107412 , z=9.351752
x=-0.29209262 , y=1.508347 , z=9.442732
x=-0.33518824 , y=1.4556746 , z=9.524135
x=-0.34955344 , y=1.436521 , z=9.552865
x=-0.33039984 , y=1.400608 , z=9.598354
x=-0.30645782 , y=1.412579 , z=9.660604
x=-0.2681506 , y=1.4389153 , z=9.715671
x=-0.24420857 , y=1.4532804 , z=9.746795
x=-0.21787235 , y=1.4772224 , z=9.706094
x=-0.25378537 , y=1.4580688 , z=9.64145
x=-0.29688102 , y=1.448492 , z=9.631873
x=-0.31364042 , y=1.4317327 , z=9.526528
x=-0.34715924 , y=1.4700398 , z=9.425972
x=-0.39743748 , y=1.4939818 , z=9.404425
x=-0.4213795 , y=1.5227122 , z=9.399636
x=-0.44771573 , y=1.5275006 , z=9.425972
x=-0.4309563 , y=1.520318 , z=9.495404
x=-0.38307226 , y=1.4748282 , z=9.531317
x=-0.35913026 , y=1.4796166 , z=9.595961
x=-0.35194764 , y=1.4532804 , z=9.6845455
x=-0.32321724 , y=1.4676456 , z=9.753978
x=-0.29927522 , y=1.5035586 , z=9.78989
x=-0.2753332 , y=1.5921441 , z=9.706094
x=-0.25617957 , y=1.5634137 , z=9.694122
x=-0.1388637 , y=1.5275006 , z=9.67018
x=-0.016759412 , y=1.4939818 , z=9.624691
x=0.1388637 , y=1.5107412 , z=9.576807
x=0.21068975 , y=1.5969325 , z=9.56723
x=0.19393034 , y=1.6208745 , z=9.581595
x=0.16519992 , y=1.6280571 , z=9.629479
x=0.16759412 , y=1.5801731 , z=9.68694
x=0.14604631 , y=1.5011644 , z=9.725247
x=0.19393034 , y=1.3958195 , z=9.799467
x=0.1412579 , y=1.352724 , z=9.945514
x=0.02633622 , y=1.2521675 , z=9.983821
x=-0.05746084 , y=1.1755531 , z=10.067618
x=-0.110133275 , y=1.127669 , z=10.115502
x=-0.12689269 , y=1.103727 , z=10.175357
x=-0.16519992 , y=1.0749966 , z=10.237606
x=-0.25139117 , y=1.0606314 , z=10.268731
x=-0.2777274 , y=1.0486604 , z=10.307038
x=-0.2657564 , y=1.0366893 , z=10.328587
x=-0.29209262 , y=1.0702082 , z=10.316615
x=-0.2896984 , y=1.0989386 , z=10.220847
x=-0.24420857 , y=1.1755531 , z=10.060435
x=-0.19632454 , y=1.2330139 , z=9.952697
x=-0.11971009 , y=1.292869 , z=9.82341
x=-0.009576807 , y=1.3431472 , z=9.600749
x=0.12449849 , y=1.3982137 , z=9.440337
x=0.2753332 , y=1.4556746 , z=9.234436
x=0.39025488 , y=1.4748282 , z=9.105149
x=0.51714754 , y=1.5490485 , z=8.9758625
x=0.6464345 , y=1.6065093 , z=8.935161
x=0.770933 , y=1.6759412 , z=8.959103
x=0.79726917 , y=1.7549498 , z=8.990228
x=0.7493851 , y=1.7741034 , z=9.02614
x=0.7254431 , y=1.7908629 , z=9.069236
x=0.62967503 , y=1.8674773 , z=9.114726
x=0.5722142 , y=1.922544 , z=9.126697
x=0.56982 , y=1.910573 , z=9.009381
x=0.58897364 , y=1.8722657 , z=8.89446
x=0.23223756 , y=1.8555063 , z=9.0237465
x=-0.02873042 , y=1.8411411 , z=9.150639
x=-0.045489833 , y=1.8746599 , z=9.0716305
x=0.0023942017 , y=1.8962077 , z=8.973468
x=-0.0023942017 , y=1.8986019 , z=8.978256
x=0.14844051 , y=1.8722657 , z=8.985439
