x=-0.08618993954363337 , y=0.8930235851812911 , z=4.502227507527459
x=-0.05506579450147502 , y=0.9073885614460414 , z=4.477088560649218
x=-0.03591247418897503 , y=0.9121768868676248 , z=4.478285880419542
x=-0.0071824951171875 , y=0.8978119106028745 , z=4.528563297346168
x=0.004788330078125 , y=0.894220666536687 , z=4.608767509742762
x=0.0023941650390625 , y=0.8726731425358294 , z=4.7009430125231715
x=-0.03471539283357917 , y=0.8583081662710791 , z=4.78234454469009
x=-0.09456951648187088 , y=0.8307752950969743 , z=4.8613519141462165
x=-0.161606146888704 , y=0.782891981277408 , z=4.910432488132375
x=-0.21906609665050425 , y=0.7469794810118002 , z=4.935571435010616
x=-0.2801173053794251 , y=0.7086728776391328 , z=4.958315742348209
x=-0.31842393855395856 , y=0.681139946861296 , z=4.958315742348209
x=-0.3471539208853252 , y=0.6548041570425871 , z=4.964301387540117
x=-0.37229265915050425 , y=0.6524099943317954 , z=4.961907224829325
x=-0.37229265915050425 , y=0.6595924824641705 , z=4.975074881323751
x=-0.34595683952992934 , y=0.6727603773735249 , z=4.979863206745335
x=-0.30405896228920826 , y=0.6895195163490669 , z=4.95472473669695
x=-0.2238544369730207 , y=0.7110670403499244 , z=4.899658517518883
x=-0.15442364385539584 , y=0.7278261793254664 , z=4.837410287038299
x=-0.10414618222597076 , y=0.7338115861024458 , z=4.761994400063289
x=-0.06703662295636663 , y=0.7385999115240292 , z=4.702140332293496
x=-0.05027746535465834 , y=0.7445853183010085 , z=4.6781987051855785
x=-0.05386871314607917 , y=0.7589502945657588 , z=4.685381193317953
x=-0.043094969771816684 , y=0.7625415386319463 , z=4.710519663366338
x=-0.049080383999262484 , y=0.7613444572765504 , z=4.754811911930913
x=-0.06344537143971254 , y=0.764935701342738 , z=4.794315358244048
x=-0.07421911853920828 , y=0.7757094931450329 , z=4.797906840725164
x=-0.08499285818823751 , y=0.7793007372112204 , z=4.795512678014372
x=-0.09337243512647503 , y=0.7852861439881997 , z=4.766782725484872
