x=0.6500158316210036 , y=0.7661327826981339 , z=4.058109609430811
x=0.621285819487771 , y=0.7924686321205748 , z=3.9934672162394347
x=0.6164974940661875 , y=0.8044394456745334 , z=3.956357694222163
x=0.5817820751559756 , y=0.79965112025295 , z=3.963540182354538
x=0.5518550412710791 , y=0.7757094931450329 , z=4.00064970437181
x=0.527913414163162 , y=0.7374028301686333 , z=4.07008042298477
x=0.5039717274515128 , y=0.6895195163490669 , z=4.186197552873096
x=0.5039717274515128 , y=0.6296653889755419 , z=4.32625630986934
x=0.47524177492201214 , y=0.5518550412710791 , z=4.534548465708219
x=0.45249719936762484 , y=0.47524177492201214 , z=4.693760524390796
x=0.399825560126475 , y=0.3974313974156833 , z=4.846986937881466
x=0.29807355551222897 , y=0.31363561313237515 , z=5.048097082417827
x=0.20829236445194152 , y=0.24659899762647502 , z=5.188155839414071
x=0.08259869547744579 , y=0.19512445464165407 , z=5.402433640444857
x=0.004788330078125 , y=0.16400030959949574 , z=5.530521107057286
x=-0.0574599609375 , y=0.1580148879215834 , z=5.643047231294353
x=-0.12449658016863337 , y=0.161606146888704 , z=5.732828094534114
x=-0.15921196927697928 , y=0.1675915536656833 , z=5.7819086685202725
x=-0.1999127800632375 , y=0.20230694277402922 , z=5.817821109182148
x=-0.22744568103920826 , y=0.22505151832841655 , z=5.823806277544199
x=-0.23103692510539584 , y=0.27772314266863335 , z=5.80585029562819
x=-0.2346281691715834 , y=0.3519422463069086 , z=5.720857280980155
x=-0.21906609665050425 , y=0.42616137974704993 , z=5.610725796283736
x=-0.22265735561762484 , y=0.5243221700969745 , z=5.426375267552775
x=-0.22744568103920826 , y=0.6069208432230206 , z=5.230053448437997
x=-0.24181067220489158 , y=0.6895195163490669 , z=5.000213828201993
x=-0.26934357318086233 , y=0.7733153304342412 , z=4.710519663366338
x=-0.28849687486719605 , y=0.8200015032946796 , z=4.499833344816667
x=-0.3220152124220122 , y=0.8786585493128087 , z=4.230489801437671
x=-0.33159186326517903 , y=0.9145710495784165 , z=4.07008042298477
x=-0.34116851410834587 , y=0.9337243512647502 , z=3.9336131484696417
x=-0.3555335201749622 , y=0.9564689566210036 , z=3.8258758264840145
x=-0.37708098457208766 , y=0.978016421018129 , z=3.801934199376097
x=-0.41658472890388304 , y=1.0079434549030255 , z=3.8186933383516393
x=-0.4477088739460414 , y=1.0163230243907966 , z=3.853408697658119
x=-0.47284758240935437 , y=1.0318850820109426 , z=3.902489033229349
x=-0.49798632067453347 , y=1.0330821633663385 , z=3.9850876467516634
x=-0.5338988209401413 , y=1.0235055125231716 , z=4.074868748406352
x=-0.5566433666926626 , y=1.0019580481260462 , z=4.2149275054025965
x=-0.5817820751559756 , y=0.9887901532166917 , z=4.344212291785349
x=-0.6009354364460414 , y=0.9720310142411498 , z=4.469906072516842
x=-0.621285819487771 , y=0.9684397701749622 , z=4.6135558351643455
x=-0.6200887381323751 , y=0.9612572820425871 , z=4.696154687101588
x=-0.628468307620146 , y=0.9720310142411498 , z=4.752417749220122
x=-0.6332566330417295 , y=0.9935784786382752 , z=4.734461290474256
x=-0.6392420398187089 , y=1.0139288616800048 , z=4.682987030607162
x=-0.6571983197533787 , y=1.054629746970928 , z=4.633906456621004
x=-0.6871253536382752 , y=1.0845567808558245 , z=4.562081575297252
x=-0.7158553657715079 , y=1.1132867333853251 , z=4.479482723360009
x=-0.748176562367196 , y=1.1348341977824505 , z=4.394489708711975
x=-0.7709211677234494 , y=1.1444108486256175 , z=4.281964061304764
x=-0.7673299236572618 , y=1.139622523204034 , z=4.2149275054025965
x=-0.7625415386319463 , y=1.1252575469392836 , z=4.144299467019312
x=-0.7469794810118002 , y=1.0905421876328039 , z=4.091627887381895
x=-0.7362057488132374 , y=1.0582209910371156 , z=4.089233724671103
x=-0.739796992879425 , y=1.0247025938785674 , z=4.125146165332978
x=-0.7565561318549671 , y=0.9851989091505042 , z=4.198168366427055
x=-0.7565561318549671 , y=0.9468922461741046 , z=4.296329037569515
x=-0.7613444572765504 , y=0.9002060733136662 , z=4.463920904154792
x=-0.7541619691441753 , y=0.8618994103372667 , z=4.6003881786699194
x=-0.7385999115240292 , y=0.8295782137415786 , z=4.8110744972195905
x=-0.7206436911930914 , y=0.8008482016083459 , z=4.977469044034542
x=-0.6703662146627332 , y=0.7900744694097831 , z=5.151046078981871
x=-0.5937529483136662 , y=0.7924686321205748 , z=5.372506368145032
x=-0.536292983650933 , y=0.8140160965177002 , z=5.529324264116818
x=-0.46207385021079167 , y=0.8235927473608672 , z=5.702901299064146
x=-0.3818693099936711 , y=0.8499285967833081 , z=5.808244458338981
x=-0.29807355551222897 , y=0.8798556306682045 , z=5.902814123830183
x=-0.2094894458073374 , y=0.934921432620146 , z=5.967456517021559
