x=-1.5705963 , y=1.1587936 , z=11.980585
x=-1.3982137 , y=1.1204864 , z=12.41633
x=-1.2090719 , y=1.1420342 , z=12.401965
x=-0.9840169 , y=1.2234371 , z=12.143391
x=-0.8331822 , y=1.3551182 , z=11.611878
x=-0.79487497 , y=1.4652514 , z=11.180922
x=-0.80684596 , y=1.5729905 , z=10.505757
x=-0.8834604 , y=1.6759412 , z=9.921572
x=-0.93134445 , y=1.8722657 , z=9.299079
x=-1.0199299 , y=1.9680338 , z=9.083601
x=-1.1180922 , y=2.066196 , z=8.963891
x=-1.2090719 , y=2.1978772 , z=8.872911
x=-1.283292 , y=2.2601264 , z=8.844181
x=-1.316811 , y=2.291251 , z=8.856153
x=-1.3192052 , y=2.267309 , z=9.136273
x=-1.2569559 , y=2.2936451 , z=9.186552
x=-1.2904748 , y=2.2337902 , z=9.138668
x=-1.412579 , y=2.2170308 , z=9.270349
x=-1.5346833 , y=2.1811178 , z=9.466674
x=-1.6017209 , y=2.1404164 , z=9.998186
x=-1.6208745 , y=2.1284454 , z=10.287885
x=-1.6519991 , y=2.1068976 , z=10.85531
x=-1.6041151 , y=2.1380222 , z=11.147403
x=-1.5993267 , y=2.171541 , z=11.552023
x=-1.6376339 , y=2.2361844 , z=11.645397
x=-1.733402 , y=2.2840683 , z=11.717223
x=-1.7501614 , y=2.4253263 , z=11.597513
x=-1.6663644 , y=2.5809495 , z=11.544841
x=-1.4915876 , y=2.7868507 , z=11.439496
x=-1.283292 , y=3.0142999 , z=11.089942
x=-1.1468226 , y=3.1771057 , z=10.745177
x=-1.0869676 , y=3.3662477 , z=10.469844
x=-1.0654198 , y=3.53863 , z=10.086772
x=-0.9792285 , y=3.6870706 , z=9.646238
x=-0.9744401 , y=3.8139634 , z=9.208099
x=-0.8882488 , y=3.9552212 , z=8.645462
x=-0.7541735 , y=4.134786 , z=8.054094
x=-0.5554548 , y=4.2281604 , z=7.771579
x=-0.23702596 , y=4.3143516 , z=7.2113357
x=-0.1340753 , y=4.3239284 , z=7.156269
x=-0.12210429 , y=4.3167458 , z=7.2472486
x=-0.11492168 , y=4.295198 , z=7.6829934
x=-0.1604115 , y=4.220978 , z=8.025364
x=-0.272939 , y=4.1036615 , z=8.463503
x=-0.49081135 , y=3.9815574 , z=8.868123
x=-0.80684596 , y=3.8259344 , z=9.382876
x=-1.2330139 , y=3.6248214 , z=10.029311
x=-1.5921441 , y=3.5314474 , z=10.204087
x=-1.9728222 , y=3.4620156 , z=10.7356
x=-2.1523874 , y=3.4476504 , z=10.867282
x=-2.1260512 , y=3.4476504 , z=10.99178
x=-1.8842367 , y=3.4284968 , z=10.718841
x=-1.5346833 , y=3.4356794 , z=10.419566
x=-0.92895025 , y=3.5577838 , z=9.67018
x=-0.4213795 , y=3.7445314 , z=9.11712
x=-0.047884032 , y=3.964798 , z=8.875306
x=0.37349546 , y=4.2066126 , z=8.738836
x=0.61770403 , y=4.390966 , z=8.604761
x=0.85473 , y=4.5633483 , z=8.564059
x=0.93852705 , y=4.6782703 , z=8.334216
x=0.830788 , y=4.6782703 , z=8.228871
x=0.56982 , y=4.654328 , z=8.453926
x=0.17717093 , y=4.510676 , z=8.714894
x=-0.4285621 , y=4.223372 , z=8.801085
x=-0.9744401 , y=3.9935284 , z=9.066842
x=-1.4987702 , y=3.7469256 , z=9.512163
x=-2.030283 , y=3.5458126 , z=10.093954
x=-2.4372973 , y=3.3806129 , z=10.702082
x=-2.6767175 , y=3.3087866 , z=11.145009
x=-2.7341783 , y=3.2680852 , z=11.046846
x=-2.6839 , y=3.169923 , z=11.075577
x=-2.5785553 , y=3.0382419 , z=10.905589
x=-2.3223755 , y=3.0095115 , z=10.556035
x=-1.970428 , y=3.1028855 , z=9.928755
x=-1.6687586 , y=3.277662 , z=9.229648
x=-1.4173675 , y=3.5122938 , z=8.391677
x=-1.1109096 , y=3.7948096 , z=7.551312
x=-0.866701 , y=4.015076 , z=6.7444663
x=-0.61770403 , y=4.1706996 , z=5.9926867
x=-0.44532153 , y=4.2305546 , z=5.6431336
x=-0.2777274 , y=4.268862 , z=5.521029
x=-0.12928689 , y=4.3598413 , z=5.616797
x=-0.110133275 , y=4.4843397 , z=5.791574
x=-0.260968 , y=4.429273 , z=6.1387334
x=-0.4213795 , y=4.331111 , z=6.670246
x=-0.7038953 , y=4.156334 , z=7.2113357
x=-1.2569559 , y=3.7972038 , z=8.149862
x=-1.757344 , y=3.5075054 , z=8.856153
x=-2.4540567 , y=3.1842883 , z=9.770737
x=-2.870648 , y=2.9903579 , z=10.429143
x=-3.157952 , y=2.8634653 , z=11.077971
x=-3.169923 , y=2.846706 , z=11.293449
x=-2.966416 , y=2.8874073 , z=11.116279
x=-2.4061728 , y=3.0358477 , z=10.548853
x=-1.9728222 , y=3.1651347 , z=9.624691
x=-1.400608 , y=3.074155 , z=8.348581
x=-0.90500826 , y=2.870648 , z=7.1466923
x=-0.8690952 , y=3.2273839 , z=6.9144545
x=-0.58657944 , y=3.7349546 , z=6.337452
x=-0.095768064 , y=4.2640734 , z=5.913678
x=0.16280572 , y=4.570531 , z=5.659893
x=0.36870706 , y=4.6495395 , z=5.595249
x=0.33279404 , y=4.534618 , z=5.849035
x=-0.3854665 , y=3.7301662 , z=6.615179
x=-0.45250413 , y=3.4045548 , z=7.4148426
x=-0.36391866 , y=3.4141316 , z=7.639898
x=-0.4309563 , y=3.7014358 , z=8.12592
x=-0.78529817 , y=3.8546648 , z=8.805874
x=-1.4053963 , y=3.715801 , z=9.435549
x=-1.7118542 , y=3.4117374 , z=9.758766
x=-1.8267759 , y=3.064578 , z=9.9790325
x=-1.7956513 , y=2.7150247 , z=10.242394
x=-1.673547 , y=2.5809495 , z=10.3932295
x=-1.4700398 , y=2.5809495 , z=10.445902
x=-1.2018893 , y=2.7341783 , z=10.534488
x=-0.90500826 , y=2.9233203 , z=10.532093
x=-0.7278373 , y=3.0933087 , z=10.010158
x=-0.6823475 , y=3.169923 , z=9.557653
x=-0.6368576 , y=3.193865 , z=9.172187
x=-0.6775591 , y=3.098097 , z=8.734048
x=-0.6392518 , y=3.0190883 , z=8.303091
x=-0.5602432 , y=2.9257145 , z=8.137892
x=-0.5793968 , y=2.9400797 , z=8.212111
x=-0.7445967 , y=3.0238767 , z=8.499416
x=-1.0103531 , y=3.028665 , z=8.726865
x=-1.4101849 , y=2.9831753 , z=8.954314
x=-1.8770541 , y=2.7820623 , z=9.31105
x=-2.327164 , y=2.5306711 , z=9.830592
x=-2.8921957 , y=2.1906946 , z=10.359711
x=-3.1890767 , y=1.9488802 , z=10.548853
x=-3.3255463 , y=1.8100165 , z=10.682928
x=-3.347094 , y=1.6687586 , z=11.200075
x=-3.1196449 , y=1.5825673 , z=11.235989
x=-2.7724855 , y=1.5442601 , z=11.405977
x=-2.753332 , y=1.6184803 , z=11.473015
x=-2.777274 , y=1.733402 , z=11.542446
x=-2.777274 , y=1.9871874 , z=11.743559
x=-2.822764 , y=2.1452048 , z=11.75553
x=-2.7844565 , y=2.3942018 , z=11.774684
x=-2.657564 , y=2.621651 , z=11.626244
x=-2.3702598 , y=2.8395233 , z=11.484985
x=-1.8746599 , y=3.0597897 , z=10.9582615
x=-1.4556746 , y=3.145981 , z=10.342952
x=-0.8355764 , y=3.2010477 , z=9.801862
x=-0.39025488 , y=3.193865 , z=9.43076
x=-0.36631286 , y=2.6479871 , z=8.743625
x=0.6895301 , y=3.0119057 , z=8.3390045
x=1.5586253 , y=3.5458126 , z=7.477092
x=1.5634137 , y=4.247314 , z=7.180211
x=0.94810385 , y=4.5441947 , z=7.762002
x=0.2777274 , y=4.357447 , z=8.149862
x=-0.4237737 , y=3.6750996 , z=8.243237
x=-0.8810662 , y=3.074155 , z=8.63828
x=-1.2761095 , y=2.7126305 , z=10.204087
x=-1.4580688 , y=2.621651 , z=11.212047
x=-1.6591818 , y=2.5306711 , z=12.071565
x=-1.8986019 , y=2.3750482 , z=12.691663
x=-2.0231004 , y=2.1308396 , z=13.048399
x=-2.1260512 , y=1.7381904 , z=13.295002
x=-2.2098482 , y=1.3599066 , z=13.421895
x=-2.327164 , y=1.0510546 , z=13.572729
x=-2.6240451 , y=0.8403648 , z=13.608643
x=-2.8107927 , y=0.8379706 , z=13.323732
x=-2.741361 , y=1.103727 , z=12.698846
x=-2.432509 , y=1.5155296 , z=12.619837
x=-2.0566192 , y=1.8890251 , z=12.229582
x=-1.4053963 , y=2.4468741 , z=11.190498
x=-0.8619126 , y=2.7748797 , z=10.500969
x=-0.19153613 , y=2.9400797 , z=9.52174
x=0.21068975 , y=2.980781 , z=8.995016
x=0.45968673 , y=3.004723 , z=8.571242
x=0.50038815 , y=2.9999347 , z=8.346188
x=0.47165772 , y=3.0933087 , z=8.6813755
x=0.4381389 , y=3.1866825 , z=9.263166
x=0.533907 , y=3.301604 , z=9.753978
x=0.79008657 , y=3.4332852 , z=9.900024
x=0.59136784 , y=3.0119057 , z=9.619903
x=0.46208093 , y=2.920926 , z=9.497798
x=0.2801216 , y=3.0095115 , z=9.605537
