x=-0.89064306 , y=1.9632454 , z=9.983821
x=-0.7398083 , y=2.0111294 , z=9.983821
x=-0.60812724 , y=2.066196 , z=9.964667
x=-0.46926352 , y=2.1021092 , z=9.919178
x=-0.31364042 , y=2.2002714 , z=9.890448
x=-0.10055647 , y=2.3104045 , z=9.742006
x=0.033518825 , y=2.3894134 , z=9.52174
x=0.10534488 , y=2.468422 , z=9.356541
x=0.18674773 , y=2.5929205 , z=9.131485
x=0.2753332 , y=2.6503813 , z=8.983045
x=0.3878607 , y=2.707842 , z=8.755595
x=0.4189853 , y=2.7700913 , z=8.702923
x=0.34715924 , y=2.7509377 , z=8.573636
x=0.23463176 , y=2.6288335 , z=8.463503
x=0.08619126 , y=2.6431987 , z=8.6095495
x=0.12928689 , y=2.6360161 , z=8.92319
x=0.15801731 , y=2.6048915 , z=9.198523
x=0.19393034 , y=2.6001031 , z=9.653421
x=0.30166942 , y=2.597709 , z=10.15381
x=0.45010993 , y=2.5953147 , z=10.354922
x=0.58657944 , y=2.5330653 , z=10.311827
x=0.60094464 , y=2.4468741 , z=10.278308
x=0.533907 , y=2.3870192 , z=10.184934
x=0.36391866 , y=2.2864625 , z=9.911995
x=0.2633622 , y=2.1906946 , z=9.634268
x=0.7206547 , y=2.0254946 , z=9.533711
x=1.151611 , y=1.8148049 , z=9.5385
x=0.7302315 , y=2.4301147 , z=10.134656
x=1.0271125 , y=2.1523874 , z=10.213664
x=0.545878 , y=1.8028339 , z=10.132261
x=0.4405331 , y=1.508347 , z=10.378864
x=-0.009576807 , y=1.30484 , z=10.386047
x=-0.51714754 , y=1.3239936 , z=10.216059
x=-1.0247183 , y=1.5753847 , z=10.007763
x=-1.6496049 , y=1.8124107 , z=10.072407
x=-2.3630772 , y=2.1308396 , z=10.4171715
x=-2.3175871 , y=2.2505496 , z=10.623073
x=-2.0111294 , y=2.2337902 , z=10.745177
x=-1.3120226 , y=2.1571758 , z=11.015722
x=-0.50996494 , y=2.1380222 , z=11.461043
x=0.44532153 , y=2.183512 , z=11.968615
x=1.340753 , y=2.1859062 , z=11.973403
x=2.0039468 , y=2.1404164 , z=11.805809
x=1.9536686 , y=2.3630772 , z=11.587936
x=2.054225 , y=2.5594015 , z=11.264719
x=2.0254946 , y=2.7988217 , z=10.637438
x=1.9369092 , y=2.9640217 , z=10.151415
x=1.8842367 , y=3.0909145 , z=9.466674
x=1.9895816 , y=3.145981 , z=8.42759
x=1.8219875 , y=3.1723173 , z=7.651869
x=1.958457 , y=3.193865 , z=7.0940194
x=1.7884687 , y=3.1603463 , z=7.029376
x=1.6543933 , y=3.0573955 , z=7.141904
x=1.6519991 , y=3.0358477 , z=7.4244194
x=1.7166426 , y=3.040636 , z=7.8146744
x=1.6543933 , y=3.0142999 , z=8.269572
x=1.4341269 , y=2.9712043 , z=8.523358
x=1.1061212 , y=2.920926 , z=8.738836
x=0.8403648 , y=2.9281087 , z=8.99741
x=0.7182605 , y=3.028665 , z=9.078813
x=0.9935937 , y=3.1364043 , z=8.920795
x=0.5315128 , y=3.1794999 , z=8.872911
x=0.2873042 , y=3.217807 , z=8.942344
x=0.08140286 , y=3.277662 , z=8.820239
x=0.095768064 , y=3.4021606 , z=8.7125
x=-0.021547815 , y=3.442862 , z=8.631097
x=-0.093373865 , y=3.4596214 , z=8.736442
x=-0.33997664 , y=3.5314474 , z=8.90643
x=-0.47644615 , y=3.5122938 , z=8.966286
x=-0.3184288 , y=3.4452562 , z=8.971074
x=-0.12449849 , y=3.3255463 , z=8.963891
x=-0.02633622 , y=3.181894 , z=8.980651
x=0.17956513 , y=3.0142999 , z=8.99741
x=0.545878 , y=2.789245 , z=9.006987
x=0.8379706 , y=2.6503813 , z=9.01417
x=1.1109096 , y=2.542642 , z=9.109938
x=1.4389153 , y=2.5067291 , z=9.112331
x=1.7166426 , y=2.5187001 , z=9.0716305
x=1.8914193 , y=2.6288335 , z=9.0476885
x=1.8028339 , y=2.7246015 , z=9.062054
x=1.5442601 , y=2.837129 , z=9.148245
x=1.2737153 , y=2.885013 , z=9.258378
x=1.0271125 , y=2.906561 , z=9.251195
x=0.6919243 , y=2.9041667 , z=9.176975
x=0.5291186 , y=2.8921957 , z=9.131485
x=0.31364042 , y=2.822764 , z=9.054871
x=0.21787235 , y=2.8083985 , z=9.006987
x=0.25378537 , y=2.8060043 , z=8.860941
x=0.33039984 , y=2.7748797 , z=8.611943
x=0.36152446 , y=2.6264393 , z=8.401254
x=-0.038307227 , y=2.0805612 , z=7.9726915
x=0.18914193 , y=2.3175871 , z=8.250419
x=0.30166942 , y=2.5306711 , z=8.578424
x=0.25617957 , y=2.801216 , z=9.105149
x=0.25617957 , y=2.96881 , z=9.478644
x=0.37110126 , y=2.896984 , z=9.682152
x=0.45489833 , y=2.6623523 , z=9.797073
x=0.58897364 , y=2.492364 , z=9.947908
x=0.7757214 , y=2.4732103 , z=10.09156
x=0.94331545 , y=2.633622 , z=10.0987425
x=1.0893618 , y=2.8179753 , z=9.952697
x=1.2306197 , y=2.8898015 , z=9.734824
x=1.508347 , y=2.9233203 , z=9.323022
x=2.1883004 , y=2.9616275 , z=8.963891
x=2.8562827 , y=3.016694 , z=8.688558
x=3.4859576 , y=3.0765493 , z=8.212111
